"time" "k1_ipm" "k2_ipm" "h1_average" "h2_average"
120 6.26682541037881e-08 7.968709138364e-08 -0.03378794 -0.017987579
180 6.43124674151224e-08 7.89178786084688e-08 -0.034362801 -0.018943308
240 6.45326388458965e-08 7.78586029781706e-08 -0.035090035 -0.019972702
300 6.4319748908726e-08 7.67115655354023e-08 -0.035932208 -0.021057718
360 6.39216931717024e-08 7.55469275240959e-08 -0.036861832 -0.0221859
420 6.34148314448054e-08 7.43845221165018e-08 -0.037858421 -0.023347809
480 6.28453625070513e-08 7.32502554784862e-08 -0.038906628 -0.02453619
540 6.22506076510641e-08 7.21435479370346e-08 -0.039994898 -0.025745457
600 6.17958153508883e-08 7.12267684935926e-08 -0.04111449 -0.0269713
660 6.11674334825912e-08 7.01748652328376e-08 -0.042263472 -0.028213423
720 6.04018820195507e-08 6.90114618781235e-08 -0.043426436 -0.029462347
780 5.97913043821448e-08 6.80423772712358e-08 -0.044605256 -0.030720289
840 5.91778733900786e-08 6.71105878951185e-08 -0.045796829 -0.031985389
900 5.85804218692463e-08 6.62040791520164e-08 -0.046998753 -0.033256338
960 5.79872685224799e-08 6.53247147433561e-08 -0.048209146 -0.034532125
1020 5.74029096382825e-08 6.4478859940312e-08 -0.049426526 -0.03581195
1080 5.68456381235492e-08 6.36639538494013e-08 -0.050649713 -0.037095171
1140 5.62939267708859e-08 6.28744418793292e-08 -0.051877768 -0.038381269
1200 5.57501217949615e-08 6.21128703108507e-08 -0.053109933 -0.039669827
1260 5.52179972134046e-08 6.13718921606893e-08 -0.054345596 -0.0409605
1320 5.46924283552058e-08 6.06513342365312e-08 -0.055584261 -0.042253009
1380 5.41792074284578e-08 5.9957309334231e-08 -0.05682552 -0.04354712
1440 5.40839287360436e-08 5.97240230999616e-08 -0.058069038 -0.04484264
1500 5.44057454606172e-08 5.98963740286496e-08 -0.059333233 -0.046158867
1560 5.35123806620168e-08 5.87974590837076e-08 -0.060613914 -0.047472779
